lane,racer_id,racer_name,racer_class,avg_st,racer_win_rate,local_win_rate,motor_2ren,boat_2ren,racer_name_beforeinfo,weight,exhibition_time,tilt,exhibition_st,temperature,wind_speed,water_temperature,wave_height,finish,race_date,jcd,venue,race_no,race_key,trifecta,trifecta_payout_per_100
1,4899,占部 一真,B1,0.15,4.59,4.38,36.04,32.48,占部 一真,52.0,6.6,-0.5,0.03,24.0,2.0,19.0,1.0,1,20260601,01,桐生,1,20260601_01_1,1-2-3,890
2,3771,折下 寛法,B1,0.16,5.29,5.86,33.33,34.48,折下 寛法,51.5,6.65,-0.5,0.19,24.0,2.0,19.0,1.0,2,20260601,01,桐生,1,20260601_01_1,1-2-3,890
3,5006,久保原 秀人,B1,0.17,3.37,4.72,47.96,27.52,久保原 秀人,54.3,6.63,-0.5,0.06,24.0,2.0,19.0,1.0,3,20260601,01,桐生,1,20260601_01_1,1-2-3,890
4,3566,川添 英正,B1,0.18,5.18,4.26,16.46,35.71,川添 英正,52.6,6.77,-0.5,0.03,24.0,2.0,19.0,1.0,4,20260601,01,桐生,1,20260601_01_1,1-2-3,890
5,4511,中岡 健人,B1,0.17,4.9,6.4,29.81,34.75,中岡 健人,56.3,6.71,0.0,0.03,24.0,2.0,19.0,1.0,4,20260601,01,桐生,1,20260601_01_1,1-2-3,890
6,4995,田邉 亮蔵,B1,0.18,4.87,1.5,21.88,31.48,田邉 亮蔵,54.2,6.7,-0.5,0.07,24.0,2.0,19.0,1.0,4,20260601,01,桐生,1,20260601_01_1,1-2-3,890
1,5248,本田 愛,B1,0.22,4.42,4.22,11.86,31.48,本田 愛,47.2,6.7,-0.5,0.21,29.0,5.0,19.0,4.0,4,20260601,01,桐生,2,20260601_01_2,2-4-5,6190
2,5002,上田 健太,A2,0.15,5.86,4.88,35.92,25.45,上田 健太,52.6,6.67,0.0,0.07,29.0,5.0,19.0,4.0,1,20260601,01,桐生,2,20260601_01_2,2-4-5,6190
3,4488,小山 勉,A1,0.19,6.82,7.21,27.85,21.1,小山 勉,52.1,6.74,0.0,0.22,29.0,5.0,19.0,4.0,4,20260601,01,桐生,2,20260601_01_2,2-4-5,6190
4,4057,松井 賢治,A2,0.16,5.89,5.14,35.58,27.68,松井 賢治,52.1,6.65,-0.5,0.18,29.0,5.0,19.0,4.0,2,20260601,01,桐生,2,20260601_01_2,2-4-5,6190
5,5385,鈴木 柊介,B2,0.16,2.67,3.12,26.92,34.23,鈴木 柊介,56.3,6.81,-0.5,0.22,29.0,5.0,19.0,4.0,3,20260601,01,桐生,2,20260601_01_2,2-4-5,6190
6,5358,増本 杏珠,B1,0.17,2.66,0.0,22.5,27.43,増本 杏珠,48.6,6.82,-0.5,0.39,29.0,5.0,19.0,4.0,4,20260601,01,桐生,2,20260601_01_2,2-4-5,6190
1,4785,木幡 純也,B1,0.18,4.75,2.83,31.48,42.86,木幡 純也,52.2,6.88,-0.5,0.19,29.0,5.0,19.0,4.0,4,20260601,01,桐生,3,20260601_01_3,3-5-4,4470
2,3313,本吉 正樹,B1,0.19,4.43,3.84,33.94,35.71,本吉 正樹,54.3,6.74,-0.5,0.16,29.0,5.0,19.0,4.0,4,20260601,01,桐生,3,20260601_01_3,3-5-4,4470
3,4792,杉村 賢也,A2,0.16,5.0,5.84,35.29,29.17,杉村 賢也,52.0,6.68,-0.5,0.12,29.0,5.0,19.0,4.0,1,20260601,01,桐生,3,20260601_01_3,3-5-4,4470
4,5141,大澤 風葵,A2,0.12,6.87,6.59,18.92,21.43,大澤 風葵,51.5,6.78,-0.5,0.11,29.0,5.0,19.0,4.0,3,20260601,01,桐生,3,20260601_01_3,3-5-4,4470
5,4348,宮崎 奨,A2,0.16,5.71,5.06,31.48,30.97,宮崎 奨,52.9,6.66,-0.5,0.01,29.0,5.0,19.0,4.0,2,20260601,01,桐生,3,20260601_01_3,3-5-4,4470
6,4581,吉村 誠,A1,0.14,6.03,6.89,24.18,35.59,吉村 誠,52.0,6.84,-0.5,0.02,29.0,5.0,19.0,4.0,4,20260601,01,桐生,3,20260601_01_3,3-5-4,4470
1,5327,西田 和加,B2,0.22,1.69,1.55,41.98,34.21,西田 和加,48.4,6.5,-0.5,0.22,29.0,5.0,19.0,4.0,4,20260601,01,桐生,4,20260601_01_4,5-4-6,2550
2,4201,佐竹 友樹,B1,0.16,3.82,5.47,29.35,27.0,佐竹 友樹,53.1,6.7,-0.5,0.23,29.0,5.0,19.0,4.0,4,20260601,01,桐生,4,20260601_01_4,5-4-6,2550
3,4059,入澤 友治,A2,0.15,4.95,4.69,16.22,28.57,入澤 友治,53.5,6.72,-0.5,0.2,29.0,5.0,19.0,4.0,4,20260601,01,桐生,4,20260601_01_4,5-4-6,2550
4,4084,杉山 正樹,A1,0.16,6.76,6.42,33.33,36.52,杉山 正樹,52.5,6.54,0.0,0.41,29.0,5.0,19.0,4.0,2,20260601,01,桐生,4,20260601_01_4,5-4-6,2550
5,4233,亀山 雅幸,A2,0.18,5.96,5.74,36.21,34.21,亀山 雅幸,52.4,6.65,0.0,0.08,29.0,5.0,19.0,4.0,1,20260601,01,桐生,4,20260601_01_4,5-4-6,2550
6,4504,前田 将太,A1,0.14,6.11,0.0,44.95,37.93,前田 将太,53.8,6.67,0.0,0.13,29.0,5.0,19.0,4.0,3,20260601,01,桐生,4,20260601_01_4,5-4-6,2550
1,4140,梶野 学志,A1,0.15,6.06,5.0,34.96,27.43,梶野 学志,52.4,6.72,-0.5,-0.03,29.0,5.0,19.0,4.0,1,20260601,01,桐生,5,20260601_01_5,1-6-4,2390
2,4220,深川 和仁,B1,0.17,4.55,4.89,30.77,30.7,深川 和仁,53.1,6.71,-0.5,0.11,29.0,5.0,19.0,4.0,4,20260601,01,桐生,5,20260601_01_5,1-6-4,2390
3,4467,渡邉 俊介,A2,0.13,6.58,5.48,22.89,29.2,渡邉 俊介,51.0,6.74,0.0,0.0,29.0,5.0,19.0,4.0,4,20260601,01,桐生,5,20260601_01_5,1-6-4,2390
4,4633,森 智也,A2,0.15,5.6,4.72,33.04,32.14,森 智也,52.0,6.65,0.0,0.07,29.0,5.0,19.0,4.0,3,20260601,01,桐生,5,20260601_01_5,1-6-4,2390
5,4765,野田部 宏子,B1,0.12,4.75,4.55,28.0,36.44,野田部 宏子,52.2,6.7,-0.5,0.11,29.0,5.0,19.0,4.0,4,20260601,01,桐生,5,20260601_01_5,1-6-4,2390
6,3833,中辻 博訓,A1,0.13,6.08,6.07,33.33,43.75,中辻 博訓,52.5,6.66,0.0,0.12,29.0,5.0,19.0,4.0,2,20260601,01,桐生,5,20260601_01_5,1-6-4,2390
1,4877,鈴谷 一平,A1,0.13,6.22,7.0,37.61,33.33,鈴谷 一平,55.1,6.81,-0.5,-0.01,28.0,5.0,19.0,4.0,2,20260601,01,桐生,6,20260601_01_6,4-1-6,3070
2,3635,石田 政吾,B1,0.16,4.33,5.65,21.92,30.56,石田 政吾,52.1,6.75,0.0,0.06,28.0,5.0,19.0,4.0,4,20260601,01,桐生,6,20260601_01_6,4-1-6,3070
3,3442,宮武 英司,B1,0.16,4.84,0.0,22.89,40.52,宮武 英司,52.9,6.77,0.0,0.01,28.0,5.0,19.0,4.0,4,20260601,01,桐生,6,20260601_01_6,4-1-6,3070
4,5006,久保原 秀人,B1,0.17,3.37,4.72,47.96,27.52,久保原 秀人,54.3,6.78,-0.5,0.06,28.0,5.0,19.0,4.0,1,20260601,01,桐生,6,20260601_01_6,4-1-6,3070
5,5454,谷島 咲希,B2,0.0,1.25,0.0,25.27,38.18,谷島 咲希,47.4,6.76,-0.5,0.18,28.0,5.0,19.0,4.0,4,20260601,01,桐生,6,20260601_01_6,4-1-6,3070
6,4895,門間 雄大,B1,0.15,5.31,4.67,29.25,29.73,門間 雄大,54.0,6.76,0.0,0.01,28.0,5.0,19.0,4.0,3,20260601,01,桐生,6,20260601_01_6,4-1-6,3070
1,4090,中村 尊,A1,0.13,5.44,6.2,27.45,29.13,中村 尊,54.9,6.91,-0.5,0.02,27.0,5.0,19.0,4.0,1,20260601,01,桐生,7,20260601_01_7,1-4-2,1780
2,4511,中岡 健人,B1,0.17,4.9,6.4,29.81,34.75,中岡 健人,56.3,6.71,0.0,-0.02,27.0,5.0,19.0,4.0,3,20260601,01,桐生,7,20260601_01_7,1-4-2,1780
3,3715,倉尾 大介,A2,0.15,5.41,6.36,32.2,29.06,倉尾 大介,52.4,6.84,-0.5,-0.03,27.0,5.0,19.0,4.0,4,20260601,01,桐生,7,20260601_01_7,1-4-2,1780
4,4329,小松 卓司,B1,0.16,4.88,5.19,17.33,37.29,小松 卓司,51.5,6.85,0.0,0.0,27.0,5.0,19.0,4.0,2,20260601,01,桐生,7,20260601_01_7,1-4-2,1780
5,5402,塚越 陸斗,B2,0.18,1.48,1.88,28.38,41.59,塚越 陸斗,52.8,6.69,-0.5,0.28,27.0,5.0,19.0,4.0,4,20260601,01,桐生,7,20260601_01_7,1-4-2,1780
6,5314,中曽 瑠華,B2,0.18,3.4,1.92,50.54,38.98,中曽 瑠華,50.9,6.9,-0.5,0.08,27.0,5.0,19.0,4.0,4,20260601,01,桐生,7,20260601_01_7,1-4-2,1780
1,4516,野口 勝弘,A2,0.16,6.44,5.44,34.95,41.46,野口 勝弘,50.0,6.68,-0.5,-0.04,27.0,4.0,19.0,3.0,3,20260601,01,桐生,8,20260601_01_8,4-2-1,15550
2,4419,原 加央理,B1,0.16,5.75,6.59,26.21,23.68,原 加央理,45.0,6.7,0.0,-0.02,27.0,4.0,19.0,3.0,2,20260601,01,桐生,8,20260601_01_8,4-2-1,15550
3,3566,川添 英正,B1,0.18,5.18,4.26,16.46,35.71,川添 英正,52.6,6.81,-0.5,0.03,27.0,4.0,19.0,3.0,4,20260601,01,桐生,8,20260601_01_8,4-2-1,15550
4,5117,冨名腰 桃奈,B1,0.18,4.08,0.0,39.62,35.04,冨名腰 桃奈,45.5,6.76,-0.5,-0.06,27.0,4.0,19.0,3.0,1,20260601,01,桐生,8,20260601_01_8,4-2-1,15550
5,4560,庄司 樹良々,A2,0.15,6.07,5.0,23.66,34.82,庄司 樹良々,52.0,6.75,0.0,-0.14,27.0,4.0,19.0,3.0,4,20260601,01,桐生,8,20260601_01_8,4-2-1,15550
6,4229,市川 美宏,B1,0.18,3.77,3.75,34.19,24.79,市川 美宏,52.4,6.84,-0.5,-0.13,27.0,4.0,19.0,3.0,4,20260601,01,桐生,8,20260601_01_8,4-2-1,15550
